essay_perplexity,burstiness_std,burstiness_cv,avg_sentence_length,sentence_length_std,function_word_ratio,pos_bigram_entropy,type_token_ratio,avg_log_prob,log_prob_std,first_person_pronoun_ratio,contraction_ratio,punctuation_variety,ai_phrase_score,label,index
11.504490278582049,13.06302242873269,0.5022337624048878,23.75,16.013666038730793,0.35714285714285715,6.214389268620855,0.6173469387755102,-2.442737418167058,1.6399534574450385,0.025510204081632654,0.02631578947368421,0.031578947368421054,0.0,1,0
18.304579626858605,7.159559814707892,0.2742190439202758,18.75,4.968651728587948,0.3333333333333333,5.422142148362484,0.7866666666666666,-2.9071512813731615,2.741207196100167,0.0,0.0,0.0,4.0,1,1
13.501401726098097,9.218629791756783,0.36156852440387244,19.25,3.6314597615834874,0.3076923076923077,5.682150575873111,0.782051282051282,-2.602793511617082,2.275068990109874,0.07692307692307693,0.0,0.012987012987012988,0.0,1,2
41.45608913416916,44.08887603835925,0.4998809459125046,33.142857142857146,16.33951014678025,0.34545454545454546,6.539647918295557,0.6363636363636364,-3.7246347739083623,2.8522171837765855,0.004545454545454545,0.02586206896551724,0.07758620689655173,0.0,0,3
55.450758322855386,184.01085444075963,0.8829891204896191,22.6,14.122322755127783,0.37383177570093457,5.812067977603424,0.6822429906542056,-4.0154953894982715,3.164981819768575,0.0,0.008849557522123894,0.04424778761061947,0.0,0,4
66.26900039294793,69.25158150213115,0.5439912389944257,19.818181818181817,7.637445810766627,0.3577981651376147,6.0961479590548215,0.6376146788990825,-4.193722222131656,2.92276805621793,0.009174311926605505,0.0045871559633027525,0.045871559633027525,0.0,0,5
76.02853124361029,474.8312041314225,1.703942595098135,12.5,7.826237921249264,0.35,5.934877192350526,0.79,-4.3311086809373505,3.5775191652307203,0.0,0.01,0.04,0.0,0,6
12.922890044036466,6.416375140953943,0.3111915373729721,16.8,2.5612496949731396,0.32142857142857145,5.707084313184217,0.75,-2.559000160959032,1.897812851975236,0.08333333333333333,0.0,0.0,0.0,1,7
19.59863117500646,11.097047430066256,0.29922344638636766,20.2,5.635601121442148,0.23529411764705882,5.666227125345316,0.803921568627451,-2.9754597257878097,2.7301304126836743,0.0,0.0,0.009900990099009901,0.0,1,8
31.656458080147015,0.0,0.0,96.0,0.0,0.4186046511627907,5.469022235905772,0.5813953488372093,-3.4549421745415736,3.437675944974108,0.0,0.0,0.22916666666666666,0.0,0,9
19.731028902563565,15.19760502801836,0.3865200064690557,14.8,2.1354156504062622,0.2597402597402597,5.360754932517596,0.7402597402597403,-2.9821924678163945,2.5860854297227682,0.09090909090909091,0.0,0.04054054054054054,0.0,1,10
